2021-12-29 18:44:55,761 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:44:58,823 WARNING assault rifle; teapot; revolver spotted
2021-12-29 18:45:01,945 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:45:05,075 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:45:08,155 WARNING teapot; assault rifle; buckle spotted
2021-12-29 18:45:11,278 WARNING teapot; assault rifle; buckle spotted
2021-12-29 18:45:14,288 WARNING buckle; teapot; seat belt spotted
2021-12-29 18:45:17,342 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:45:20,471 WARNING assault rifle; revolver; teapot spotted
2021-12-29 18:45:23,519 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:45:26,574 WARNING assault rifle; buckle; teapot spotted
2021-12-29 18:45:29,594 WARNING teapot; assault rifle; buckle spotted
2021-12-29 18:45:32,653 WARNING teapot; Polaroid camera; buckle spotted
2021-12-29 18:45:35,694 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:45:38,736 WARNING assault rifle; buckle; Polaroid camera spotted
2021-12-29 18:45:41,887 WARNING teapot; assault rifle; buckle spotted
2021-12-29 18:45:45,030 WARNING assault rifle; teapot; seat belt spotted
2021-12-29 18:45:48,080 WARNING assault rifle; teapot; buckle spotted
2021-12-29 18:45:51,194 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:45:54,315 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:45:57,331 WARNING assault rifle; Polaroid camera; reflex camera spotted
2021-12-29 18:46:00,377 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:46:03,520 WARNING assault rifle; teapot; buckle spotted
2021-12-29 18:46:06,636 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:46:09,664 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:46:12,802 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:46:15,934 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:46:18,963 WARNING assault rifle; Polaroid camera; teapot spotted
2021-12-29 18:46:22,007 WARNING teapot; assault rifle; Polaroid camera spotted
2021-12-29 18:46:25,039 WARNING buckle; teapot; assault rifle spotted
2021-12-29 18:46:28,133 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:46:31,210 WARNING assault rifle; teapot; Polaroid camera spotted
2021-12-29 18:46:34,269 WARNING assault rifle; teapot; revolver spotted
2021-12-29 18:46:37,318 WARNING teapot; assault rifle; buckle spotted
